username,password,aptnumber,charge,datecreated
9131602584,53SD$YRd7~,12,90000000,2012-5-13
9888689192,*1.Ro(5jP<,16,50000000,2006-10-31
9761005115,d42zJ</IUv,19,40000000,2017-8-27
9851121429,~1sSpCs6O8,10,20000000,2020-8-5
9284616046,2:hbaG(?s3,2,30000000,2010-12-13
9810537619,>n4ucYTE|e,17,60000000,2020-5-28
9187576921,ZA0E?N8e3/,11,10000000,2005-12-16
9905781589,F0B?ff?:2W,6,70000000,2015-1-11
9168858643,|4=G4$Fg>.,13,20000000,2009-5-17
9852114944,s)6r.<C?zC,1,70000000,2007-10-8
9683310683,(2S:SGH3s$,3,30000000,2017-6-5
9713996387,.5>uAW3*5x,5,80000000,2019-11-10
9172251334,x@D8Gh*N@),15,40000000,2020-9-6
9966538135,Mv~*6~EgBx,20,30000000,2000-1-21
9491087110,862oqz4)M>,7,50000000,2013-1-22
9188765978,.H>@S7gfzp,8,50000000,2018-3-7
9582422698,0Vwwj1tO/e,9,20000000,2020-10-8
9996265823,*y5U/:~BX8,18,40000000,2003-5-12
9279243045,ojJ/nbi=2J,14,90000000,2018-7-26
9667134491,eD8vk)E0wv,4,30000000,2004-4-28
