username,password,aptnumber,charge,rent,credit,debit,datecreated
9827495636,?7cZKn%Kd9,9,900000,6000000,0,0,1384-04-10
9920392530,QECcI66|Qf,17,600000,2000000,0,0,1400-08-01
9548288299,(o(*Zac0Uo,10,800000,2000000,0,0,1384-10-11
9805222828,0cy//2:PX7,7,500000,6000000,0,0,1379-09-21
9158998017,>XE>j9hp4%,18,400000,6000000,0,0,1379-11-30
9496228610,PetRR~)N0u,20,800000,6000000,0,0,1386-07-16
9217788168,0xZG:DdV|a,4,500000,6000000,0,0,1384-05-08
9640569114,H/69%:1B/t,15,100000,6000000,0,0,1385-11-19
9886607218,$>0~*/GwJC,8,300000,4000000,0,0,1387-01-30
9076785405,/7NW6c#Ag$,19,700000,4000000,0,0,1386-01-21
9877810333,%58mzPNcHe,11,800000,6000000,0,0,1384-04-04
9233719241,Gx34a(TH#e,6,200000,6000000,0,0,1394-04-27
9663938765,vb(4SHb>ah,13,400000,4000000,0,0,1399-12-12
9787351988,@S%k$UPU9d,16,300000,4000000,0,0,1383-05-12
9712049433,)92f7JHeHT,14,500000,2000000,0,0,1382-08-22
9337752008,c1JdAt~U<?,1,700000,4000000,0,0,1393-10-09
9911873641,~Z8ieKz/|t,12,400000,4000000,0,0,1396-06-17
9912967033,1$xbfF:g6~,5,500000,2000000,0,0,1399-09-18
9875646285,=#z28%c4GX,2,300000,2000000,0,0,1399-10-14
9389034193,X#<FS4t(I:,3,800000,6000000,0,0,1381-08-07
